20 :2021-08-17 23:13:45,337 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 23:13:45,353 : INFO : logger : False lock successfully
20 :2021-08-17 23:13:45,362 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 23:13:45,372 : INFO : logger : frame's name get successfully
20 :2021-08-17 23:13:54,975 : INFO : logger : File opened successfully
20 :2021-08-17 23:13:55,001 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 23:13:55,015 : INFO : logger : False lock successfully
20 :2021-08-17 23:13:55,023 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 23:13:55,028 : INFO : logger : frame's name get successfully
20 :2021-08-18 00:58:47,391 : INFO : logger : File opened successfully
20 :2021-08-18 00:58:47,417 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 00:58:47,431 : INFO : logger : False lock successfully
20 :2021-08-18 00:58:47,439 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 00:58:57,977 : INFO : logger : frame's name get successfully
20 :2021-08-18 00:58:57,982 : INFO : logger : frame's name get successfully
20 :2021-08-18 00:58:57,983 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:10:25,625 : INFO : logger : File opened successfully
20 :2021-08-18 01:10:25,652 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:10:25,682 : INFO : logger : False lock successfully
20 :2021-08-18 01:10:25,691 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:10:31,803 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:10:31,807 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:10:31,808 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:12:32,157 : INFO : logger : File opened successfully
20 :2021-08-18 01:12:32,182 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:12:32,213 : INFO : logger : False lock successfully
20 :2021-08-18 01:12:32,221 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:12:38,566 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:12:38,570 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:12:38,572 : INFO : logger : frame's name get successfully
